catchment,station_id,n_obs_full,nse_calib,kge_calib,r2_calib,rmse_calib,pbias_calib,nse_valid,kge_valid,r2_valid,rmse_valid,pbias_valid,nse_full,kge_full,r2_full,rmse_full,pbias_full
Aurajoki,1026,2540,0.6687,0.5838,0.6979,2.5791,34.7588,0.6902,0.5991,0.7494,3.5110,0.7669,0.6758,0.6124,0.6967,2.7327,28.0787
Hounijoki,1015,1410,0.4185,0.3718,0.4734,1.2090,8.4527,0.4020,0.3928,0.4438,1.0617,13.0599,0.4187,0.3828,0.4650,1.1756,9.7457
Hounijoki,1024,1461,0.3494,0.4057,0.4207,1.3525,-24.4771,0.2766,0.5023,0.3187,1.3398,-4.2096,0.3352,0.4465,0.3804,1.3494,-18.9516
Ilolanjoki,1021,2461,0.7036,0.6696,0.7225,2.0972,11.1979,0.6487,0.6383,0.6668,2.0879,17.8745,0.6967,0.6660,0.7148,2.0958,12.2073
Karjaanjoki,1025,2369,-0.7608,0.0563,0.3966,0.2570,70.8452,0.5378,0.7165,0.5668,0.1676,8.9334,-0.4337,0.2196,0.3935,0.2456,57.6312
Karjaanjoki,1054,2404,0.7570,0.7150,0.7767,1.2422,0.3668,0.2233,0.3418,0.2386,2.1604,-7.0211,0.6819,0.6756,0.6943,1.4158,-0.7617
Karjaanjoki,1063,2506,0.1709,0.3917,0.6645,4.1210,-44.5431,0.0064,0.3352,0.4224,4.1538,-41.0888,0.1510,0.3872,0.6314,4.1257,-44.0689
Karjaanjoki,1071,2903,0.5866,0.5142,0.8512,3.5469,-36.3745,0.2408,0.3581,0.6331,4.4145,-38.6967,0.4690,0.4750,0.7931,3.8167,-40.0561
Karjaanjoki,1083,2922,0.4838,0.6147,0.7377,3.8243,7.8745,-0.5925,0.3557,0.2268,5.4535,11.8868,0.3436,0.5897,0.6521,4.0529,2.9085
Karjaanjoki,1132,2922,0.5268,0.7549,0.6387,9.3875,-7.9630,0.0473,0.4886,0.2483,12.1877,-7.2062,0.4239,0.7114,0.5592,10.0767,-11.5236
Koskenkylanjoki,1023,2906,0.7526,0.6228,0.8327,2.3697,-12.6738,0.3561,0.4423,0.5097,2.8194,-28.9626,0.6535,0.5728,0.7401,2.6420,-20.9986
Koskenkylanjoki,1046,2919,0.7498,0.6352,0.8197,4.8991,-15.6017,0.6011,0.5047,0.7970,5.3944,-27.3255,0.7017,0.5940,0.7901,5.1508,-20.7597
Mustijoki,1028,2791,0.6437,0.5721,0.6857,3.1017,14.3352,0.3112,0.4002,0.3676,3.7439,36.1215,0.5791,0.5517,0.6044,3.2696,12.0404
Mustijoki,1035,2921,0.7534,0.6543,0.8003,4.6226,-12.7941,0.5039,0.6191,0.5058,5.9812,-1.8885,0.7042,0.6387,0.7401,4.8960,-13.2268
Porvoonjoki,1065,2913,0.8192,0.7232,0.8576,5.9142,-19.1102,0.5698,0.7231,0.5966,8.2040,-11.4686,0.7563,0.6943,0.7978,6.6224,-21.5791
Sipoonjoki,1014,9,-0.9443,-0.2790,0.0108,0.4902,89.2500,,,,,,-0.9443,-0.2790,0.0108,0.4902,89.2500
Sirppujoki,1019,2877,0.4147,0.2829,0.6118,3.4930,-36.7694,0.2520,0.1689,0.4741,5.2309,-38.1917,0.3750,0.2495,0.5698,3.7715,-38.4482
Siuntionjoki,1001,2484,0.5396,0.4937,0.7744,0.3798,-34.5800,-0.2108,0.1502,0.2658,0.7612,-47.1312,0.4062,0.4301,0.6613,0.4563,-37.1104
Siuntionjoki,1016,2871,0.7820,0.8238,0.7828,0.4892,-2.3159,0.3437,0.6469,0.4320,0.7870,-6.2807,0.7153,0.7950,0.7196,0.5387,-5.8272
Summajoki,1030,2441,0.5947,0.4654,0.8064,4.3494,-32.8253,0.4736,0.3830,0.8000,5.1448,-38.8535,0.5779,0.4527,0.8037,4.4676,-33.7508
Taasianjoki,1019,2556,0.7028,0.6998,0.7128,4.4777,-8.1455,0.4642,0.3563,0.6122,6.9572,-42.3550,0.6621,0.6406,0.6810,4.9090,-14.7880
Uskelanjoki,1027,2692,0.5737,0.5574,0.5968,5.6692,-4.5250,0.4770,0.4697,0.4995,7.0727,-10.2143,0.5405,0.5269,0.5635,5.8705,-8.3318
Vantaanjoki,1039,2509,0.7815,0.8346,0.7876,2.6591,-7.7816,0.6256,0.8021,0.6621,3.2477,-6.5733,0.7624,0.8339,0.7697,2.7488,-7.6024
Vantaanjoki,1062,2501,0.6163,0.8040,0.6876,1.6457,-0.2994,-0.0237,0.5147,0.2844,3.2254,10.5612,0.5046,0.7581,0.6054,1.9241,1.2756
Vantaanjoki,1063,2922,-0.1426,0.3141,0.6050,1.1399,18.1659,-1.0500,-0.0623,0.5835,1.5034,26.4843,-0.2407,0.2730,0.5934,1.1738,18.8759
Vantaanjoki,1066,2874,0.8121,0.7982,0.8213,1.7461,-10.2000,0.5439,0.7703,0.5935,2.5680,-0.3171,0.7634,0.7838,0.7718,1.9202,-11.3089
Vantaanjoki,1071,2922,0.8756,0.8668,0.8828,5.5455,-9.1837,0.6082,0.7806,0.6443,10.1859,-9.0885,0.8284,0.8431,0.8387,6.3940,-11.0180
Vantaanjoki,1073,2874,0.8683,0.8319,0.8807,7.7574,-11.3853,0.6276,0.7859,0.6579,13.2333,-9.2143,0.8247,0.8145,0.8386,8.8168,-12.9516
Vironjoki,1030,2824,0.5093,0.4601,0.5728,3.7639,-20.3198,0.3663,0.3418,0.4640,4.4827,-24.0731,0.4465,0.3975,0.5291,4.1781,-24.0544
